INSERT INTO marks (assessment_id, reg_num, marked_obtained, status) VALUES
(54, 'TG-2023-0003', 54.76, 'Present'),
(54, 'TG-2023-0004', 0.0, 'Absent'),
(54, 'TG-2023-0005', 46.94, 'Present'),
(54, 'TG-2023-0006', 64.57, 'Present'),
(54, 'TG-2023-0007', 81.11, 'Present'),
(54, 'TG-2023-0008', 72.46, 'Present'),
(54, 'TG-2023-0009', 0.0, 'Absent'),
(54, 'TG-2023-0010', 0.0, 'Absent'),
(55, 'TG-2023-0001', 88.59, 'Present'),
(55, 'TG-2023-0002', 94.07, 'Present'),
(55, 'TG-2023-0003', 54.91, 'Present'),
(55, 'TG-2023-0004', 86.58, 'Present'),
(55, 'TG-2023-0005', 85.24, 'Present'),
(55, 'TG-2023-0006', 61.44, 'Present'),
(55, 'TG-2023-0007', 85.89, 'Present'),
(55, 'TG-2023-0008', 49.75, 'Present'),
(55, 'TG-2023-0009', 63.93, 'Present'),
(55, 'TG-2023-0010', 49.14, 'Present'),
(56, 'TG-2023-0001', 81.5, 'Present'),
(56, 'TG-2023-0002', 89.32, 'Present'),
(56, 'TG-2023-0003', 0.0, 'Absent'),
(56, 'TG-2023-0004', 93.89, 'Present'),
(56, 'TG-2023-0005', 76.54, 'Present'),
(56, 'TG-2023-0006', 84.81, 'Present'),
(56, 'TG-2023-0007', 66.84, 'Present'),
(56, 'TG-2023-0008', 79.19, 'Present'),
(56, 'TG-2023-0009', 72.15, 'Present'),
(56, 'TG-2023-0010', 93.02, 'Present');
